similarity;sentence1;sentence2
-;A woman wearing a pink hat is looking at a pink car with the truck open.;The woman is wearing clothes.
neutral;A woman wearing a pink hat is looking at a pink car with the truck open.;The woman is wondering if she left her car open.
contradiction;A woman wearing a pink hat is looking at a pink car with the truck open.;The woman is wearing a grocery bag to her car.
neutral;A man in a blue shirt is looking up.;A man in a blue shirt is looking up at a dog.
contradiction;A man in a blue shirt is looking up.;A man in a red shirt is looking up.
entailment;A man in a blue shirt is looking up.;A person looks up.
entailment;Three girls on an amusement ride enjoying themselves.;There are three girls
contradiction;Three girls on an amusement ride enjoying themselves.;The girls are at home
neutral;Three girls on an amusement ride enjoying themselves.;The girls like amusment parks
neutral;Woman at Walmart check-out having her groceries bagged by an employee.;The woman bought unhealthy food
contradiction;Woman at Walmart check-out having her groceries bagged by an employee.;The woman is in Target
entailment;Woman at Walmart check-out having her groceries bagged by an employee.;A woman is in Walmart
contradiction;Brown dog treads through water.;Brown dog is sleeping next to the water
entailment;Brown dog treads through water.;Brown dog treads through water as he is soaked in water
neutral;Brown dog treads through water.;Brown dog treads through water as he swims towards shore
contradiction;A woman is waiting with children as she is checked out at Walmart.;A woman is standing at the counter at Target.
entailment;A woman is waiting with children as she is checked out at Walmart.;A woman has children with her at the check out counter.
neutral;A woman is waiting with children as she is checked out at Walmart.;A woman has three children with her.
neutral;A blond woman with two children is checking out at a Walmart register.;A mother is with her two children at Walmart buying food
contradiction;A blond woman with two children is checking out at a Walmart register.;Food makes people hungry
entailment;A blond woman with two children is checking out at a Walmart register.;A mother is with her two children at walmart
contradiction;A woman sitting in a laundromat looking at the camera.;A monkey is eating a banana.
neutral;A woman sitting in a laundromat looking at the camera.;A woman is modeling appliances for the camera.
entailment;A woman sitting in a laundromat looking at the camera.;There is a woman in a room.
neutral;A young boy paddles across the water in a makeshift boat.;A boy is boating in a pond.
entailment;A young boy paddles across the water in a makeshift boat.;A boy is in a boat.
contradiction;A young boy paddles across the water in a makeshift boat.;A boy is swimming.
neutral;A baseball player is about to throw a baseball.;A baseball playing is throwing a ball
entailment;A baseball player is about to throw a baseball.;A baseball player is swinging to hit the ball.
contradiction;A baseball player is about to throw a baseball.;A baseball is broken
neutral;A dog zips along the beach.;A dog is chasing a ball on the beach.
contradiction;A dog zips along the beach.;A dog is sleeping in the living room.
entailment;A dog zips along the beach.;A dog is outside.
contradiction;A white dog runs along a rocky shoreline.;A dog is running up the stairs at home.
neutral;A white dog runs along a rocky shoreline.;A dog is running with his owner outside.
entailment;A white dog runs along a rocky shoreline.;A dog is running outside.
entailment;A fuzzy white lap dog runs along a rocky beach.;A dog runs across the beach.
neutral;A fuzzy white lap dog runs along a rocky beach.;A dog chases birds on the beach.
contradiction;A fuzzy white lap dog runs along a rocky beach.;A dog snuggle down under blankets on the couch.
entailment;A small white dog running on a pebble covered beach.;A dog on the beach.
contradiction;A small white dog running on a pebble covered beach.;A seagull on the dock.
neutral;A small white dog running on a pebble covered beach.;A dog runs after his boy and the frisbee.
neutral;A baseball player is putting all his might in to throwing a ball.;Player is giving the ball away
entailment;A baseball player is putting all his might in to throwing a ball.;Pitcher is winding up a throw
contradiction;A baseball player is putting all his might in to throwing a ball.;The player tossed the football
neutral;Cheerleaders are on the field cheering.;The cheerleaders are wearing blue.
contradiction;Cheerleaders are on the field cheering.;An empty field.
entailment;Cheerleaders are on the field cheering.;Some people are cheering on a field.
neutral;Cheerleaders are on the field cheering.;Cheerleaders are waiting for the game to begin.
contradiction;Cheerleaders are on the field cheering.;The football player killed the cheerleader with his bullet pass.
neutral;Cheerleaders are on the field cheering.;The Dallas Cowboys' cheerleaders are trying to pump-up the crowd.
entailment;Cheerleaders are on the field cheering.;There are people outdoors.
entailment;Cheerleaders are on the field cheering.;Cheerleaders cheer on a field for an activity.
entailment;Cheerleaders are on the field cheering.;People cheering.
contradiction;Cheerleaders are on the field cheering.;People sit on the snow-covered bench.
