similitud; oración1; oración2
contradicción; un hombre en pantalones cortos y una prenda blanca se para al pie de la escalera enmarcado por una barandilla negra.; una mujer está esperando a alguien enmarcado por una cerca blanca.
neutral; Un hombre en pantalones cortos y una prenda blanca se para al pie de las escaleras enmarcado por una barandilla negra.; Un hombre en pantalones cortos espera a su esposa al pie de las escaleras.
vinculación; Un hombre en pantalones cortos y una prenda blanca se encuentra al pie de las escaleras enmarcadas por una barandilla negra.; Un hombre se para al pie de las escaleras.
contradicción; Un hombre haciendo trucos en la nieve.; No hay nieve donde el hombre está
neutral; Un hombre haciendo trucos en la nieve.; El hombre está haciendo snowboard
vinculación; Un hombre haciendo trucos en la nieve.; El hombre está afuera.
neutral; Dos personas asiáticas se sientan en una mesa azul en un patio de comidas.; Dos personas están comiendo juntas.
contradicción; dos asiáticos se sientan en una mesa azul en un patio de comidas; la gente está comprando gafas de sol.
vinculación; Dos personas asiáticas se sientan en una mesa azul en un patio de comidas.; Dos personas están sentadas juntas.
vinculación; Pareja india con niño cerca de la orilla del río.; Una pareja sostiene a un niño
contradicción; pareja india sosteniendo un niño cerca de la orilla del río.; una pareja está durmiendo con su bebé en casa
neutral; pareja india con niño cerca de la orilla del río.; una pareja canta una canción de cuna a un bebé
vinculación; Un grupo de personas jugando al fútbol.; Un grupo de personas está jugando al fútbol
contradicción; un montón de gente jugando al fútbol.; la gente está jugando fútbol americano
neutral; un montón de gente jugando al fútbol.; la gente está jugando al fútbol sin porteros
contradicción; Un jugador de fútbol saltando en el aire durante un juego.; Un jugador de fútbol que vuela por el campo durante un juego.
neutral; Un jugador de fútbol que salta en el aire durante un juego.; Un jugador de fútbol que salta en el aire durante un juego para evitar ser golpeado en la cara.
vinculación; Un jugador de fútbol que salta en el aire durante un juego.; Un jugador de fútbol que salta mientras un juego está en curso.
neutral; Una foto de acción de tiro a puerta de jugadores de fútbol con uniformes rojos y negros.; Un momento decisivo en un partido de fútbol está congelado en la foto.
contradicción; Una foto de acción de tiro a puerta de jugadores de fútbol con uniformes rojos y negros.; Un jugador de hockey logra su primer hat trick
vinculación; Una foto de acción de tiro a puerta de jugadores de fútbol con uniformes rojos y negros.; Un jugador tiene un tiro penal.
neutral; el equipo rojo tiró el balón hacia la portería y el equipo negro intentó bloquearlo; los equipos están jugando al fútbol.
vinculación; El equipo rojo tiró el balón hacia la portería y el equipo negro intentó bloquearlo.; El equipo rojo y negro están jugando un partido.
contradicción; el equipo rojo tiró el balón hacia la portería y el equipo negro intentó bloquearlo; los equipos están en azul y naranja.
vinculación; Seis jugadores de fútbol en el campo con un jugador de uniforme rojo en el aire y la pelota en el aire.; La gente está jugando al fútbol.
contradicción; Seis jugadores de fútbol en el campo con un jugador de uniforme rojo en el aire y la pelota en el aire.; Seis personas están jugando baloncesto.
neutral; Seis jugadores de fútbol en el campo con jugador de uniforme rojo en el aire y balón en el aire.; Un equipo está en rojo, el otro, azul.
contradicción; Dos niños pequeños mostrando su orgullo americano en su carro con lentejuelas de estrellas.; Dos adultos mezclan una tanda de margaritas.
neutral; Dos niños pequeños que muestran su orgullo estadounidense en su vagón con lentejuelas de estrellas.; Dos niños están en un desfile en un vagón vestidos de rojo, blanco y azul
vinculación; Dos niños pequeños que muestran su orgullo estadounidense en su carro con lentejuelas de estrellas.; Dos niños están con un carro.
contradicción; Un hombre joven con un chaleco rojo acolchado muestra una variedad de colgantes de plata alrededor de su cuello mientras observa a una mujer con un bikini amarillo, una chaqueta negra y guantes sin dedos de color rosa brillante pasar.; No hay joyas.
vinculación; Un hombre joven con un chaleco acolchado rojo muestra una variedad de colgantes de plata alrededor de su cuello mientras observa a una mujer con un bikini amarillo, una chaqueta negra y guantes sin dedos de color rosa brillante pasar.; Alguien está mirando joyas.
neutral; Un hombre joven con un chaleco rojo acolchado muestra una variedad de colgantes de plata alrededor de su cuello mientras observa a una mujer con un bikini amarillo, una chaqueta negra y guantes sin dedos de color rosa brillante pasar. Los colgantes tienen cadenas largas.
vinculación; La niña sopla a una mariposa.; La niña sopla una mariposa.
contradicción; Niña sopla a una mariposa.; La niña estornuda en una mariposa.
neutral; Niña sopla a una mariposa.; La niña sopla besos a una mariposa.
vinculación; Una pareja de ancianos baila junto a una mesa donde un niño está sentado con la cabeza gacha.; Un joven tiene la cabeza sobre la mesa.
neutral; una pareja de ancianos baila junto a una mesa donde está sentado un niño con la cabeza gacha.; los abuelos del niño se acercaron y le preguntaron si se encontraba bien.
contradicción; una pareja de ancianos baila junto a una mesa donde un niño está sentado con la cabeza gacha; un joven toca la batería.
vinculación; Una niña pequeña se encuentra entre muchas sandías grandes.; Hay una niña de pie
contradicción; Una niña pequeña se encuentra entre muchas sandías grandes.; Hay una niña sentada cerca de la sandía
neutral; Una niña pequeña se para entre muchas sandías grandes.; Hay una niña parada pensando en comprar la sandía
vinculación; Una pareja de ancianos baila frente a una máquina de discos mientras un tipo con pantalones cortos duerme en una mesa cercana; Una pareja de ancianos baila junto a una máquina de discos mientras un tipo con pantalones cortos duerme cerca de una mesa.
neutral; una pareja de ancianos baila frente a una máquina de discos mientras un chico en pantalones cortos duerme en una mesa cercana; una pareja de ancianos baila junto a un chico que duerme
contradicción; Una pareja de ancianos baila frente a una máquina de discos mientras un tipo en pantalones cortos duerme en una mesa cercana; Dos gatos cantan karoake
neutral; una pareja de ancianos, ambos vestidos con camisa blanca, bailando y un hombre joven sentado en una mesa; la pareja lleva mucho tiempo junta.
vinculación; Una pareja de ancianos, ambos vestidos con camisa blanca, bailando y un hombre joven sentado en una mesa.; La pareja está bailando junta.
contradicción; Una pareja de ancianos, ambos vestidos con camisa blanca, bailando y un hombre joven sentado en una mesa.; La pareja está sentada con el hombre.
vinculación; Un niño se agacha para recoger una sandía de una gran pila de ellas.; Una persona está cerca de una sandía.
neutral; Un niño se agacha para recoger una sandía de una gran pila.; Una niña está comprando sandías con sus padres en un mercado de agricultores.
contradicción; Un niño se agacha para recoger una sandía de un gran montón de ellas.; Una mujer está sola, plantando semillas de sandía en un jardín en la primavera.
vinculación; Una niña pequeña vestida con un vestido amarillo con flores se inclina cerca de un gran montón de sandías.; La niña tiene menos de 88 años.
contradicción; Una niña pequeña vestida con un vestido amarillo con flores se inclina cerca de un gran montón de sandías.; La niña está sola y dormida en su dormitorio.
neutral; Una niña pequeña vestida con un vestido amarillo con flores se inclina cerca de una gran pila de sandías.; La niña lleva zapatos amarillos.
neutral; Una niña recogiendo una sandía de un montón.; Una niña está comprando una sandía.
contradicción; Una niña recogiendo una sandía de un montón.; Una niña está recogiendo una naranja.
vinculación; Una niña recogiendo una sandía de un montón.; Una niña está recogiendo un artículo.
vinculación; una joven con un vestido de flores rodeada de sandías; hay mucha fruta.
neutral; una joven con un vestido de flores rodeada de sandías; hay algunos cítricos.
contradicción; una joven con un vestido de flores rodeada de sandías; solo hay papas.
vinculación; Un hombre con una chaqueta azul gritando.; Un hombre está haciendo un ruido fuerte.
neutral; Un hombre con una chaqueta azul gritando.; Un hombre está asustado.
contradicción; un hombre con chaqueta azul gritando; un hombre susurrando.
neutral; Niños jugando un juego en un campo.; Los niños compiten por una recompensa.
contradicción; Niños jugando a un juego en un campo.; Adultos jugando a un juego.
vinculación; Niños jugando a un juego en un campo.; Niños jugando a un juego.
vinculación; Una mujer sentada con el pelo corto y una cámara lanza un Frisbee a un perro marrón.; La mujer lanza un Frisbee al perro.
contradicción; una mujer sentada con el pelo corto y una cámara lanza un frisbee a un perro marrón.; la mujer está persiguiendo al perro que le quitó la cámara.
neutral; una mujer sentada con el pelo corto y una cámara le lanza un frisbee a un perro marrón.; una mujer le lanza un disco a un perro y se prepara para tomar una foto.
vinculación; Escena de la ciudad asiática de personas en la calle con luces brillantes y edificios de vidrio detrás.; La gente está en la calle.
contradicción; Escena de la ciudad asiática de personas en la calle con luces brillantes y edificios de vidrio detrás.; La ciudad asiática está llena de campos.
